,Company Name,Location,Industry,Post Title,Description,Post Date,Post Views
101,LEGACY HOSPITALITY,"Albuquerque, NM",Investment & Asset Management,legacy-hospitality.com,Our core business is hospitality in which Legacy Development & Management has grown into a major force in the hospitality industry.,"12 Sep, 2022, 23:07 UTC",7597
102,Pinnick Lewis,United Kingdom,Accounting Services,pinnick.co.uk,Pinnick Lewis was established in London’s West End in 1950 and has been located in North West London since 1972. Over the years we have developed a varied and loyal client base – spanning in some cases multi-generation.,"12 Sep, 2022, 23:06 UTC",6057
103,Integrate,"Phoenix, AZ",Enterprise Software & Network Solutions,integrate.ch,"INTEGRATE means integrate, integrate and combine. This is exactly what we have been doing since the company was founded in 1996. We are a reliable partner with foresight. We have about fifty employees working on various projects from different sector...","12 Sep, 2022, 23:04 UTC",7782
104,Omega Services,"Sydney, Australia",Consumer Services,omegaservices.com.au,"Omega Services technicians provide quality services to the Sydney area. Our values drive us to continuously improve and grow to meet the demands of the current marketplace. We do things the right way, not the easy way to make sure that no one has to...","12 Sep, 2022, 21:50 UTC",1562
105,Frigoríficos Bandeira,Spain,Grocery Retail,frigobandeira.com,"Frigoríficos Bandeira S.L ., is a company founded in 1984, dedicated to slaughtering and butchering of cattle. The great experience gained over three generations in the treatment of livestock has placed us as one of the leading companies in the secto...","12 Sep, 2022, 14:12 UTC",1689
106,Ginko,Taiwan,Consumer Products,ginko.com.tw,"At present, the business group covers five business groups: brand development, contact lenses, pharmaceutical biochemistry, retail channels and strategic investment.","11 Sep, 2022, 23:02 UTC",7851
107,Ring-Plastik Pechler,"Altomünster, Germany",Manufacturing,ring-plastik.de,"Experience since 1969  Centrally located between Augsburg and Munich, Ring-Plastik has been manufacturing high-quality plastic parts since 1969. From the development and design of their products to series production, we accompany our customers in t...","11 Sep, 2022, 23:00 UTC",6824
108,Shopper360,"Petaling Jaya, Malaysia",Advertising & Marketing,shopper360.com.my,"Stolen 178GB: passports, scans, financial statements, contracts, documents and more   Shopper360 Limited is a Malaysia-based provider of shopper marketing services to the retail, consumer goods and in-store advertising industries. The company offe...","11 Sep, 2022, 23:00 UTC",7856
109,Peak International,"New Territories, Hong Kong",Machinery Manufacturing,peakinternational.com,"peak. com. hk  Peak is an industry leader in engineered plastics and packaging for high value-add products in industries such as semiconductors, precision mechanical components, and solutions for the laboratory, and consumer markets. With offices i...","11 Sep, 2022, 22:56 UTC",4028
110,Divultec,Portugal,Consumer Services,divultec.pt,"Divultec's offering is focused on Systems Integration, offering solutions for backup, communications, security, server and storage infrastructures, virtualization, network infrastructures, printing and software licensing","11 Sep, 2022, 22:55 UTC",3545
111,Clestra Hauserman,"Strasbourg, France",Construction,clestra.com,"Clestra Hauserman is the result of a powerful story written by the energy of successive generations of passionate men and women. It is the story of Clestra Hauserman’s staff past and present, as well as its clients, its partner architects and designe...","11 Sep, 2022, 22:49 UTC",8104
112,Galenica,"Bern, Switzerland",Healthcare Services & Hospitals,galenica.ma,"Galenica (Laboratoires Pharmaceutiques Galenica) Created in 1978,Pharmaceutical Laboratories GALENICA are specialized in the development, manufacture, promotion and sale of generic drugs for the Moroccan market as well as foreign marchées. By offer...","11 Sep, 2022, 22:48 UTC",5099
113,ThinInfra,Netherlands,Information Technology Support Services,thininfra.nl,ThinInfra is specialized on leveraging high-end sales and pre-sales support around the thin infrastructure topic. ThinInfra covers topics like:     Thin Clients         Thin Client Management Solutions     Virtual Desktop Infrastructure...,"11 Sep, 2022, 22:47 UTC",4781
114,Kamut International,"Montana, United States",Food & Beverage,kamut.com,We have three main activities at KEE. We organize the promotion and protection of the KAMUT(R) tradename in the European Union. We also coordinate a research program regarding health and nutritional benefits of processed products made of KAMUT(R) kho...,"11 Sep, 2022, 22:47 UTC",3016
115,Autoliv,"Stockholm, Sweden",Transportation Equipment Manufacturing,autoliv.com,"AUTOLIV HIROTAKO SDN.BHD. A major player in the Malaysian safety restraint systems marketplace, providing a range of high quality seat belts, airbags and steering wheels to all automotive manufacturers based in Malaysia.  Products: seatbelts & rel...","11 Sep, 2022, 22:47 UTC",7457
116,Ocrex,"Chandigarh, India",Information Technology Support Services,ocrex.com,OCREX was formed in 2009 and specialises in the development of OCR software solutions. OCREX has developed AutoRec which automates the process of performing bank reconciliations from paper bank statements. Primarily this product is geared toward the...,"11 Sep, 2022, 22:46 UTC",7715
117,Window Rock School District 8,"Fort Defiance, AZ",Preschools & Childcare Services,wrschool.net,"Window Rock Unified School District is proud to be one of the finest School Districts on the Navajo Nation. Following our mission and vision statements, our team of more than 300 dedicated employees is providing quality education to students residing...","11 Sep, 2022, 22:41 UTC",6813
118,Capsa,Spain,Logistics,embalajescapsa.com,Capsa 2in1® cajas de cartón personalizadas Tu solución a medida. Contamos con soluciones de cajas de cartón especialmente diseñadas para cada tipo de necesidad    USUARIOS Y PASSWORDS CAPSA   ACCESO A RRSS Y EMAIL MARKETING  Twitter: Usuar...,"11 Sep, 2022, 22:40 UTC",4654
119,Agenzia delle entrate,"Rome, Italy",Internet & Web Services,agenziaentrate.gov.it,"The Revenue Agency, operational since 1 January 2001, was born from the reorganization of the Financial Administration following the Legislative Decree No. 300 of 1999. It has its own statute and specific regulations governing administration and acc...","11 Sep, 2022, 22:40 UTC",12347
120,Fedefarma,"Gavá, Spain",Pharmaceuticals,fedefarma.com,"Farmaoffice go, digitaliza tu farmacia con un clic Hacer realidad el reto de digitalizar tu farmacia es posible. Desde fede farma te ayudamos a conseguir facilitándote una web personalizada, dinámica e interactiva con la que posicionarte como experto...","11 Sep, 2022, 22:36 UTC",7218
121,"Trial Pro, P.A.","Orlando, FL",Law Firms & Legal Services,trialpro.com,"The seasoned injury law specialists at Trial Pro, have well over a combined 100 years of experience practicing all types of injury law, including but not limited to personal injury, workers compensation, wrongful death, product liability, consumer pr...","11 Sep, 2022, 22:35 UTC",6565
122,Fruca SA,"Murcia, Spain",Grocery Retail,fruca.es,Fruca Marketing is one of the Biggest Producers of Fresh Fruit & Vegetables in Spain and Europe,"11 Sep, 2022, 22:35 UTC",7831
123,STA Travel,"London, United Kingdom",Travel Agencies,statravel.de,"For you, traveling is more than just booking a flight and taking a few photos of cool spots? Then you are exactly right here! At STA Travel, we love nothing more than getting to know a new country, its culture or a language in all its beauty and disc...","11 Sep, 2022, 22:35 UTC",4968
124,YMA,Taiwan,Industrial Machinery & Equipment,ymaunivers.com,"From using composite wood 50 years ago to today’s carbon fiber composite products, YMA combines the power of science, driven by engineering, time proven craftsmanship, and united by purpose. The company is driving innovations through the use of mate...","11 Sep, 2022, 22:34 UTC",7680
125,NORMANDISE Pet Food,"Vire, France",Machinery Manufacturing,lanormandise.fr,Normandise Petfood is a manufacturing and packaging plant specializing in the custom manufacturing of high-quality food products.,"11 Sep, 2022, 22:33 UTC",7617
126,Holiday Inn Istanbul,Istanbul,Hospitality,hikadikoy.com,Holiday Inn Istanbul (Hotel),"11 Sep, 2022, 22:33 UTC",5056
127,Tekinox,Italy ,Industrial Machinery & Equipment,tekinox.it,"Workshop for the production of turned parts, Tekinox Srl is specialized in the processing of all families of stainless steels","11 Sep, 2022, 22:33 UTC",7759
128,Hamiota Economic Development,Canada,Government Administration,hamiota.com,hamiota.com The Hamiota Municipal Hamiota Economic Development,"11 Sep, 2022, 19:03 UTC",1768
129,Drapery Concepts,"California, United States",Commercial & Residential Construction,draperyconceptsny.com,"For more than 25 years, Drapery Concepts Inc. has been creating custom drapery and window treatments in our own workroom.","11 Sep, 2022, 17:29 UTC",4698
130,Hunters Estate Agent,United Kingdom,Real Estate,hunters.com,We’ve seen our business grow rapidly since opening our first branch in York in 1992. We are now one of the leading estate and lettings agency networks with branches throughout the UK.  The last 25 years have given us invaluable experience during wh...,"11 Sep, 2022, 15:31 UTC",3055
131,GAV Resorts,"Belém, Brazil",Construction & Real-Estate,gavresorts.com.br,GAV Resorts is a company specializing in high-end resorts.,"11 Sep, 2022, 15:30 UTC",3092
132,Kisan Group,"Sāngli, India",Machinery Manufacturing,kisan.com.tr,KISAN Trafik Mühendisliği Proje Hizmetleri. Turkey Revenue:  $177 Million,"11 Sep, 2022, 15:24 UTC",2356
133,Sport City,"Draper, UT",Sports & Recreation,sportscity.com.tw,"As a clothing manufacturer for over 30 years, SCI has witnessed the development of the garment industry in Taiwan. We are fully aware that talent is the key to a company's sustainable development. Talent development takes time and effort, and SCI put...","11 Sep, 2022, 15:20 UTC",2999
134,Centro Don Serafino Ronchi,Italy,Healthcare Services & Hospitals,centrodsr.it,"Don Serafino Ronchi è un centro multidisciplinare specializzato in terapie fisioterapiche e riabilitative, visite mediche, esami diagnostici e cura dei disturbi dell’età evolutiva, 400 mq dedicati alla salute e al benessere della persona.  Ambiente...","11 Sep, 2022, 06:32 UTC",4536
135,Hatcher Insurance,"Florida, United States",Insurance ,hatcherins.com,"With deep-roots in the insurance community dating back to 1942, Hatcher has been serving Florida for over half-a-century.","11 Sep, 2022, 06:32 UTC",6759
136,Northwest Pipe,"Vancouver, WA",Metal & Mineral Manufacturing,northwestpipe.com,"Northwest Pipe Fittings sells quality plumbing supplies, HVAC parts, pipes, valves & fittings to professional contractors and homeowners.","11 Sep, 2022, 06:31 UTC",6360
137,UNIR Distribución y logística,"CABA, Buenos Aires",Logistics,correounir.com.ar,"Unir Distribución y Logística (Unir SA) Argentina Unir SA is a Clarin Group company oriented to the development of integral solutions in the tasks of Postal Distribution, Logistics in general, we offer all the variants of products, in the shortest t...","11 Sep, 2022, 06:31 UTC",7705
138,Siam Computing,"Chennai, India",Information Technology Support Services,sieam.fr,Intermunicipal Syndicate of Water Supply and Sanitation of Mayotte,"11 Sep, 2022, 06:30 UTC",7316
139,Osprey Video,"Carrollton, TX",Computer Hardware Development,ospreyvideo.com,"THE OSPREY DIFFERENCE Serving Mission Critical Markets, our products are designed to withstand extreme environmental conditions like unpredictable temperature fluctuations, unstable power grids and above average shock and vibration. These factors ar...","11 Sep, 2022, 06:30 UTC",4717
140,Flores Funza,"Bogotá, Colombia",Agriculture,floresfunza.com,"floresfunza.com FLORES FUNZA is one of the leading companies in the flower industry in Colombia. With over 200 hectares (of production and more than 30 products availabl Headquarters:  Vereda Cocli Kilometro 7 Via, Funza, Cundinamarca, Colombia...","11 Sep, 2022, 06:30 UTC",3098
141,Rovagnati,"Biassono, Italy",Grocery Retail,rovagnati.it,"Novità Rovagnati, un ""dominio"" internazionale Nasce il sito Rovagnati.com, una piattaforma in lingua inglese che parla dell'azienda a tutto il mondo. Scopri di più Novità Rovagnati negli Stati Uniti A fine settembre è stato inaugurato il primo stabil...","11 Sep, 2022, 06:30 UTC",9746
142,La Competencia,"Quito, Ecuador",Telecommunications,competencia.com.ec,"About: La Competencia S.A. inicia en 1963, durante su tiempo de vida se ha dedicated a la importación, venta y distribution de distintos productos innovadores, las primeras importaciones fueron maquinas de cosér, siguiendo con linea blanca para hoga...","11 Sep, 2022, 06:27 UTC",7235
143,Spécialités Y G Ltée,Canada,Furniture,ygboulons.com,"Spécialités Y.G. Ltée 587 rue des Actionnaires, Chicoutimi, Québec, G7J5B3 Canada","11 Sep, 2022, 06:26 UTC",4419
144,GET,Spain,Business Services,get.es,"The origins of G.E.T. date back to 1987, the year in which a small tobacco shop was opened in Benidorm. Today, more than three decades later and thanks to the entrepreneurial spirit of its founders, the company is made up of a large team of professio...","11 Sep, 2022, 06:26 UTC",7430
145,Roedean School,South Africa,Education,roedeanschool.co.za,"Stolen: passports, finances, personal photos, documents and more  Roedean School was founded in 1885 to provide 'a thorough physical, intellectual and moral' education with 'as much liberty as is consistent with safety'.","11 Sep, 2022, 06:25 UTC",8482
146,Comune di Reggio Emilia,"Reggio di Calabria, Italy",Government Administration,www3.comune.gorizia.it,Gorizia is an Italian town and the capital of the Province of Gorizia in its inhabitants are called the Goriziani. The municipality covers 41.1 km² and has 34 336 inhabitants since the last population census. The population density is 835.2 inhabita...,"11 Sep, 2022, 06:22 UTC",3609
147,Quality Medical Care,"Melbourne, FL",Healthcare Services & Hospitals,qualitymedicalinc.com,"Quality Medical Inc. Founded in October 2001 to provide a convenient, pleasurable and private shopping experience for the medical community. Our goal is simple; excellent products, exceptional customer service and a commitment to value. With our he...","11 Sep, 2022, 06:12 UTC",5689
148,RIKEN,"Wako, Japan",Biotech & Pharmaceuticals,riken.co.jp,RIKEN CORPORATION: Manufacturer of functional parts for automotive and industrial machinery.,"11 Sep, 2022, 06:12 UTC",10795
149,"Yong Mao Environmental Tech. Co.,Ltd","Taipei, Taiwan",Manufacturing,,"Yun Mao Ecological technology. Design Co., Ltd was approved in 2015 and has been in the construction industry ever since. Cooperate with many big companies in China.  Scans of documents, certificates, accounting, drawings, photos/ videos of working...","11 Sep, 2022, 06:12 UTC",7005
150,Grupo OSDE,"Buenos Aires, Argentina",Business Services,osde.com.ar,"OSDE is a network of medical care services in Argentina created in 1972. 2 In 1991 it became the first network of medical-care services in Argentina , with a system of open health plans. 3  It currently has more than 2 million members, almost 7 tho...","11 Sep, 2022, 06:11 UTC",8922
151,New West Metals,Canada,Minerals & Mining,newwestmetals.com,New West Metals Inc offers a full range of stainless steels of all types and shapes,"11 Sep, 2022, 06:07 UTC",6606
152,Marco Polo Hotels,China,Hospitality,marcopolohotels.com,"Marco Polo Hotels embody the ethos to explore, discover and experience a destination creating unique guest experiences in established locations and drawing on the key philosophies of its namesake, Marco Polo: the explorer, global traveller, entrepren...","11 Sep, 2022, 06:06 UTC",2807
153,KKCS,"Los Angeles, CA",Business Consulting,kkcsworld.com,"KKCS is a full-service program management, project management, and construction management firm with more than 30 years of experience providing consulting services for transportation, aviation, infrastructure, and facilities projects. We bring a weal...","11 Sep, 2022, 06:06 UTC",4493
154,Tru-Fab Technology,"Ohio, United States",Commercial & Residential Construction,trufab.com,"Tru-Fab Technology, Inc. is a full-service company specializing in custom fabrication, machining, welding, deep-hole drilling, powder coating.","11 Sep, 2022, 06:05 UTC",4484
155,AddConsult Group,Netherlands,Business Services,addconsult.nl,"Stolen data: bank documents, customer data, financial documents.  About company: Service, quality, inlevingsvermogen and pragmatic aanpak to belangrijke corewoorden for AddConsult. Ons enthousiast team of consultants outside of contact with our cli...","11 Sep, 2022, 06:04 UTC",7212
156,Kortrijkse Rijschool,Belgium,Driving School,kortrijkserijschool.be,"Kortrijkse Rijschool, Eerste keer goede keer, uw partner in elke rijopleiding.","11 Sep, 2022, 06:01 UTC",2356
157,DCash,Thailand,Beauty Services,dcashpro.com,"dcashpro.com Moderncast International Cosmetics (MCIC) unveils Dcash Professional brand strategy, preparing to penetrate the B2C market, accelerating the development of hair products to meet the end-consumer needs, increasing online sales channels,...","11 Sep, 2022, 06:01 UTC",2166
158,MetaAge,"Taipei, Taiwan",Information Technology Support Services,metaage.com.tw,"Helping enterprises integrate cloud technology, digital transformation, and improve enterprise per capita productivity through intelligent automation. Metaverse Generation ""Best IT Intelligence Partner""","11 Sep, 2022, 06:01 UTC",3065
159,Rottley Tile,"Taipei, Taiwan",Tile Industry,pdh.com.tw,"Rottley Tile has more than 35 years of experience and professional service team, all kinds of tile questions are happy to answer for you, your inquiries are our honor.","11 Sep, 2022, 06:01 UTC",2829
160,Canteen,"Charlotte, NC",Catering & Food Service Contractors,canteen.com,"Canteen is a family of companies, serving clients across the country with both national and regional offerings for our markets, dining, coffee and vending lines of business.","11 Sep, 2022, 06:00 UTC",4518
161,Al-Taadhod Group,"Doha, Qatar",Industrial Machinery Manufacturing,altaadhod.com,"small part of data we have, if the company do not contact us all their data will be published","11 Sep, 2022, 06:00 UTC",4559
162,Currier Ryan,"Boston, United States",Law Firms & Legal Services,currierryan.com,"The legal advisor you choose to build and implement your estate plan will play an important role for your family and your legacy. While no single firm is the best choice for everyone, we feel Currier Ryan is ideally suited for high and ultra high net...","08 Sep, 2022, 08:19 UTC",4715
163,Perteet,"Everett, WA",Architectural & Engineering Services,perteet.com,"Talent, innovation, and hard work. For over 33 years, we’ve been partnering with public agencies to help keep cities and towns moving forward in Washington State and beyond.  Perteet is a community of self-disciplined people and teams. We are fier...","07 Sep, 2022, 19:25 UTC",4230
164,Misumi USA,"Schaumburg, IL",Machinery Manufacturing,misumi.com.tw,"Established in 1982, Misumi Electronic Corporation has surged ahead and become one of the leading CCTV & CMOS security equipment manufacturers and exporters in Taiwan. Our product lines range from all kinds of CCTV & CMOS cameras to related periphera...","07 Sep, 2022, 14:55 UTC",2811
165,Town of Frederick,"Frederick, CO",Regional Agencies,frederickco.gov,"The Town of Frederick is a Statutory Town located in Weld County, Colorado, United States.[1] The town population was 14,513 at the 2020 United States Census, a +67.22% increase since the 2010 United States Census.[3] Frederick is a part of the Greel...","07 Sep, 2022, 12:49 UTC",4894
166,SBR Stahlbau Regenhütte,Germany,Commercial & Residential Construction,sbr-zwiesel.de,"The company SBR - Stahlbau Regenhütte GmbH - based in Zwiesel is a future-oriented and high-performing medium-sized family company, which manufactures complete equipment parts for the construction machinery industry with the most modern machines. Thi...","05 Sep, 2022, 15:26 UTC",2652
167,Growag Feuerwehrtechnik,Switzerland,Building Materials,growag.ch,"Ausrüsterin für Feuerwehren, Unternehmen und Private Entdecken Sie unsere Geschäftsbereiche und erfahren Sie mehr über uns. Nebst einem umfangreichen Produktsortiment bieten wir Ihnen Service- & Wartungsdienstleistungen sowie ein Angebot an verschi...","02 Sep, 2022, 07:51 UTC",4468
168,Studio Barba,Italy,Consumer Services,studiobarba.com,"Il sito STUDIO BARBA rappresenta uno strumento per fornire informazioni sull'attività professionale esercitata, secondo professionalità, correttezza e verità, nel rispetto della dignità e del decoro della professione e degli obblighi di segretezza e...","01 Sep, 2022, 10:25 UTC",4689
169,Megal Development,"Wisconsin, United States",Commercial & Residential Construction,megal.com,Megal is a source for individual and group investors who are looking for an opportunity for a real estate investment.,"26 Aug, 2022, 17:26 UTC",3968
170,The Pinjuh Law Firm,"Ohio, United States",Law Firms & Legal Services,pinjuhlaw.com,"The Pinjuh Law Firm, LLC offers efficient and successful immigration legal services. Managing attorney Lori A. Pinjuh brings a wealth of experience and care to her representation.  We have all company and clients information","23 Aug, 2022, 16:49 UTC",4878
171,Barry W Dowd Attorney At Law,"Louisiana, United States",Law Firms & Legal Services,barrydowd.com,"Outstanding legal service since 1993. Alimony, annulments, divorce, legal separation, prenups, and paternity We have all client files","23 Aug, 2022, 11:40 UTC",4453
172,Ruffin Lawyers,Australia,Law Firms & Legal Services,ruffinlawyers.com.au,Ruffin Lawyers is a company that operates in the Legal Services industry. It employs 6-10 people and has $1M-$5M of revenue.,"23 Aug, 2022, 11:27 UTC",4497
173,Robit Plc,Finland,Mining,robitgroup.com,"At Robit, our focus is on the drilling – where the steel and the ground collide. That’s what we know best. Whatever your operation – forepoling, piling, tunnelling, anchoring or construction – Robit drilling consumables are designed to give more dril...","23 Aug, 2022, 08:49 UTC",4174
174,Destination Hope,"Florida, United States",Hospitals & Physicians Clinics,destinationhope.com,"Based in Fort Lauderdale, Florida, we provide substance abuse and mental health treatment for adult men and women. Our center is among one of the first Non-Medicare Partial Hospitalization programs made available in the state of Florida. We are proud...","23 Aug, 2022, 08:04 UTC",4440
175,Entrust,"Shakopee, MN",Computer Hardware Development,entrust.com,"OUR STORY BEGAN IN 1969, with the founding of Datacard Corporation and the advent of secure, high-speed payment and identity card printers.","20 Aug, 2022, 00:52 UTC",7165
176,Wabtec,"Pittsburgh, PA",Transportation Equipment Manufacturing,wabteccorp.com,"Wabtec Corporation is an American company formed by the merger of the Westinghouse Air Brake Company and MotivePower Industries Corporation in 1999. It is headquartered in Pittsburgh, Pennsylvania. Wabtec manufactures products for locomotives, freigh...","19 Aug, 2022, 23:30 UTC",4404
177,FAAC Group,Italy,Commercial & Residential Construction,faacgroup.com,"Fabbrica Automatismi Apertura Cancelli (FAAC) was founded in 1965 and immediately became synonymous with automation for gates all around the world. Quality, safety, reliability, satisfaction, passion and research are the values on which the company h...","13 Aug, 2022, 03:52 UTC",4984
178,Becker Law Office,"Louisville, KY",Legal,beckerlaw.com,"Full dataset. 500gb. Becker Law has over 30 years of experience in Kentucky and Indiana handling cases for more than 50,000 clients. Becker Law has forced them to pay hundreds of millions of dollars for our clients. Your case to us is personal becaus...","13 Aug, 2022, 03:48 UTC",5394
179,Best Tax Filer,"Farmington Hills, MI",Accounting & Tax,besttaxfiler.com,Full dataset. Best Tax Filer LLC is happy to announce a new referral policy for all the clients across United States. This program is not only meant for assisting new clients but also provides benefits in cash or in kind to you. This new policy gives...,"13 Aug, 2022, 03:46 UTC",4528
180,Century Aluminum,"Chicago, IL",Metal & Mineral Manufacturing,centuryaluminum.com,"Full dataset. Century Aluminum Company is a US-based producer of primary aluminium, with aluminum plants in Kentucky, South Carolina and Iceland. It is the largest producer of primary aluminium in the United States. The company is a publicly held cor...","13 Aug, 2022, 03:41 UTC",4900
181,La Poste,"Paris, France",Banking & Lending,lapostemobile.fr,"How much is the personal data of the French? 100 thousand dollars, that's how much the private information of more than a million and a half people in France is worth.  La Poste Mobile is a quadruple play Telecom operator (mobile, landline, Internet...","13 Aug, 2022, 03:28 UTC",5083
182,Lexington National Land Services,"New York, NY",Real Estate,lexingtonnational.com,Lexington National Insurance Corporation is a national property and casualty insurance company rated A- by A.M. Best and U.S. Treasury listed. Lexington National Insurance Corporation is licensed in all 50-states and the District of Columbia. Starti...,"11 Aug, 2022, 13:40 UTC",6595
183,Gemeente Maldegem,"Maldegem, Belgium",Government Administration,maldegem.be,Stolen private data and DB's,"11 Aug, 2022, 13:39 UTC",7306
184,Groupe Hélios,"La Courneuve, France",Construction,groupe-helios.com,"Chez Hélios, les femmes et les hommes sont au cœur de l’entreprise. Chaque personnalité et compétence est un atout essentiel pour assurer la réussite du groupe. Diverses fonctions sont occupées quotidiennement : Management, Exploitation/Travaux, Admi...","11 Aug, 2022, 13:39 UTC",7318
185,MEC,"Mayville, WI",Machinery Manufacturing,mec.com,"Mack Energy Corporation was founded by Mack.C..Chase, President, in 1990. It was formed as an independent energy company engaged in the exploration, development, and production of oil and gas in southeastern New Mexico. Headquartered in Artesia, New...","11 Aug, 2022, 13:38 UTC",6712
186,Unimaster,Bulgaria,Freight & Logistics Services,unimasters.com,"Unimasters Logistics Plc is a dynamic, advanced supply chain management company, headquartered in Bulgaria with fully owned subsidiaries in Romania and Hungary. It specialises in delivering a wide range of customer-friendly, innovative, advanced phyg...","09 Aug, 2022, 14:02 UTC",5832
187,O'Brien Group Australia,"North Melbourne, Australia",Hospitality,obriengroupaustralia.com.au,"O'Brien Group is Australia and New Zealand's largest privately owned hospitality, entertainment and leisure company.  For over 30 years, O'Brien Group has operated many of Australasia's premier venues.  O’Brien Group Australia is a fully integrate...","02 Aug, 2022, 08:49 UTC",5970
188,Precision Flooring Products,"Tennessee, United States",Building Materials,preflooring.com,"Since 1994, Precision Flooring Products, Inc. has been a leading manufacturer and distributor of customized prefinished mouldings to the wood flooring industry throughout North America. To meet the demands of our customers, we customarily stock a wid...","01 Aug, 2022, 16:37 UTC",6661
189,Scohil Construction,"Texas, United States",Commercial & Residential Construction,scohil.com,"Scohil Construction Services has experience in, and the capability to perform, the following construction related activities:      Storm Water Detention Ponds     Lime / Cement Soil Stabilization     Utility Installation including water, sanitary...","01 Aug, 2022, 16:24 UTC",6653
190,EMUNWorks,"Alabama, United States",Database & File Management Software,emunworks.com,ONE platform for CRM and B2B. Sell smarter and shop smarter with EMUN1. Much more than an order entry system. EMUN is a fields sale software solution provider. It offers a sales enablement solution.,"31 Jul, 2022, 01:05 UTC",6548
191,Eclipse 4dm,"Kettering, United Kingdom",Commercial Printing,eclipse-print.com,ECLIPSE GROUP is a large-scale manufacturer of a large-scale graphics with high-end service for each client.,"30 Jul, 2022, 08:37 UTC",5488
192,Susquehanna International Group (SIG),"Bala Cynwyd, PA",Stock Exchanges,sig.id,"Semen Indonesia Group (SIG), is an Indonesian cement company established in 1957 in Gresik, with the name NV Semen Gresik. In 1991, PT Semen Gresik was the first state-owned company to go public on the Indonesia Stock Exchange. Furthermore, in 1995,...","27 Jul, 2022, 15:41 UTC",6714
193,Diodes,"Plano, TX",Electronics Manufacturing,diodes.com,"Hello, today we are presenting incredible information from one of the largest chip manufacturers -= Diodes Incorporated.=- Type    Public Traded as   Nasdaq: DIOD S&P 600 component Russell 3000 Index component Industry    Semiconductors Founded 1959...","25 Jul, 2022, 08:58 UTC",13543
194,BizFrame,"Johannesburg, Gauteng",Software Development,bizframe.co.za,"BizFrame’s Enterprise Platform as a Service (PaaS) enables companies to quickly develop, run and manage any web-based business application without the traditional complexity of building and maintaining the infrastructure.","23 Jul, 2022, 14:46 UTC",6053
195,Bizerba,"Balingen, Germany",Machinery Manufacturing,bizebra.com,Bizerba SE & Co. KG is a German provider of weighing and slicing technologies for industry and trade and is a worldwide leading specialist in industrial weighing and labeling technologies.[citation needed] It was founded in 1866 Andreas Bizer in Bal...,"22 Jul, 2022, 04:26 UTC",9803
196,The Institute of Ismaili Studies,"King's Cross, United Kingdom",Colleges & Universities,iis.ac.uk,"The Institute of Ismaili Studies (IIS) was established in 1977 as an academic institution of higher education dedicated to the study of Islam, with a particular focus on its Ismaili and broader Shi‘i traditions. A core part of our mission is to prese...","21 Jul, 2022, 17:52 UTC",7494
197,V L P,"Flushing, NY","Department, Clothing & Shoe Stores",vlp.nl,"Flexible partitioning specialist VLP has specialised since 1982 in bespoke “flexible partitioning” for a wide variety of sectors, with products including: industrial curtains, strip curtains, welding curtains, swing doors, roll-up curtains, Dynaco h...","21 Jul, 2022, 11:21 UTC",7735
198,Atlantic Coast Athletic Clubs,"Charlottesville, VA",Sports & Recreation,acac.com,[part 1] acac (Atlantic Coast Athletic Clubs) is one of the Top 100 Fitness and Wellness Clubs in America.,"20 Jul, 2022, 18:48 UTC",7556
199,Emprint,"Louisiana, United States",Business Services,emprint.com,[4.7 TB Files] Emprint provides document and printing solutions tailored to address each client's unique needs,"20 Jul, 2022, 18:48 UTC",7532
200,Cabbage,"Sheffield Village, OH",Wholesale,cabbageinc.com,"Cabbage Inc Cabbage, Inc. operates as a cabbage producer. The Company offers a variety of cabbage and organic products including spring mix, spinach, red, green, napa, and savoy cabbage, as well as harvesting and shipping inspections. Cabbage serves...","20 Jul, 2022, 18:47 UTC",8787
201,A2 Pas,"Lectoure, France",Hotels & Resorts,a2-pas.fr,Upload about of 20Gb private clients data exclusive information about their clients and companies and more passports scans  cofidal.fr kadim-invest.fr abel-investissements.fr   Key Principal: Isabelle DAHAN Industry: Management of Companies a...,"19 Jul, 2022, 12:37 UTC",7649
202,Genus plc,"Basingstoke, United Kingdom",Biotech & Pharmaceuticals,genusplc.com,"Genus is a world-leading animal genetics company. We partner with farmers to nourish the world more efficiently and sustainably. We do this by breeding better pigs and cattle, so farmers can produce highquality meat and milk more efficiently and su...","19 Jul, 2022, 11:31 UTC",6170
203,Vytelle,"Oregon, United States",Business Services,vytelle.com,"Vytelle is a precision livestock company reshaping how cattle producers worldwide optimize their herds. Through Vytelle’s integrated technology platform, generations of genetic gains can be made in just a few years. This allows producers to sustainab...","16 Jul, 2022, 11:24 UTC",4418
204,Alpa Azienda Lavorazione Prodotti Ausiliari SpA,Italy,Manufacturing,alpachem.com,"ALPA, a leather tanning company, was founded in 1957 in Milan thanks to the foresight of Mr. Gualtiero Gualtieri. The company still maintains the family connotation through Gloria, Mr. Gualtieri’s daughter, who, as CEO, leads the company. Production...","15 Jul, 2022, 13:15 UTC",8594
205,Export Trading Group (ETG),"Dar es Salaam, Tanzania",Wholesale,etgworld.com,"ETG has developed into a global player with a diverse portfolio of expertise across multiple industries, encompassing Agricultural inputs, logistics, merchandising and processing, supply chain optimization, digital transformation and energy.  Our p...","14 Jul, 2022, 07:17 UTC",6953
